date,flight_id,route,aircraft_type,scheduled_hour,crew_duty_hours,weather_forecast_18h,weather_actual,atc_slot_delay_min,delayed
2026-04-11,CZ3011,PVG-XIY,A320,18,9.3,0.57,0.73,0,0
2025-09-10,CZ3079,PVG-SZX,A330,9,6.8,-1.28,-1.83,0,0
2024-09-06,CZ3117,PVG-TSN,A320,15,8.5,-0.1,0.03,5,0
2026-01-11,CZ3026,PVG-NKG,A320,18,8.7,1.27,1.92,0,0
2026-09-01,CZ3023,PVG-HGH,B737,14,7.7,-0.13,-1.87,0,0
2025-07-06,CZ3017,PVG-CTU,B737,6,7.7,-0.22,-0.17,0,0
2026-08-11,CZ3019,PVG-CTU,A330,19,8.5,-0.77,-0.48,0,0
2026-01-31,CZ3111,PVG-CKG,B737,7,6.5,0.98,-0.58,0,0
2026-02-14,CZ3015,PVG-CTU,A321,18,4.5,0.79,-0.34,5,0
2026-01-28,CZ3015,PVG-WUH,B787,18,4.0,0.69,0.26,0,0
2026-03-15,CZ3051,PVG-XIY,B787,20,4.9,-1.12,-1.44,0,0
2024-10-20,CZ3019,PVG-KMG,A320,18,5.3,-0.86,-0.06,0,0
2026-02-17,CZ3040,PVG-HGH,B787,12,10.6,-0.29,-0.18,0,0
2026-01-27,CZ3039,PVG-TSN,A330,15,6.2,-1.05,-2.1,0,0
2025-06-03,CZ3102,PVG-XIY,A320,14,4.8,0.44,-0.16,0,0
2024-10-30,CZ3100,PVG-KMG,A321,21,3.7,-0.63,-0.08,0,0
2025-06-25,CZ3092,PVG-CSX,A330,18,6.1,-1.19,-2.84,0,0
2025-08-06,CZ3038,PVG-KMG,A321,13,3.6,-2.83,-3.0,5,0
2026-04-28,CZ3093,PVG-WUH,A320,11,6.6,0.53,1.85,0,0
2025-02-06,CZ3111,PVG-SZX,A320,10,4.4,-0.13,0.92,0,0
2025-04-16,CZ3024,PVG-WUH,A320,20,9.6,-1.26,-0.65,4,0
2024-10-10,CZ3061,PVG-CAN,B737,8,5.3,-1.19,-2.02,0,0
2025-07-13,CZ3004,PVG-CTU,A330,9,2.6,1.14,2.78,19,1
2025-10-20,CZ3088,PVG-PEK,A321,14,9.2,1.29,2.02,0,0
2025-02-24,CZ3026,PVG-CAN,B787,9,3.6,0.55,-0.14,0,0
2025-04-06,CZ3079,PVG-NKG,B787,8,,-0.13,-0.53,1,0
2025-01-20,CZ3117,PVG-CSX,A321,6,7.8,-0.13,-1.17,0,0
2025-04-07,CZ3111,PVG-XIY,B787,7,7.2,-0.35,-1.62,0,0
2025-06-03,CZ3071,PVG-PEK,A321,14,8.7,-0.07,-0.58,0,0
2024-10-20,CZ3057,PVG-CAN,A321,20,8.6,-0.9,-1.59,0,0
2026-01-23,CZ3052,PVG-HGH,B737,13,8.7,-0.1,-0.32,0,0
2025-05-16,CZ3111,PVG-CAN,A321,10,7.2,-0.5,0.59,22,1
2025-06-14,CZ3016,PVG-CAN,B737,17,8.3,-0.04,-0.86,0,0
2025-05-20,CZ3030,PVG-CAN,B737,10,7.1,0.23,-0.62,17,1
2026-08-30,CZ3049,PVG-SZX,A320,14,8.5,-0.6,-0.34,0,0
2025-12-07,CZ3074,PVG-CKG,A330,16,7.4,-0.24,1.32,42,1
2025-03-27,CZ3036,PVG-KMG,A330,22,9.2,0.28,-1.36,0,0
2026-05-12,CZ3065,PVG-HGH,B737,21,7.4,-0.0,-0.37,0,0
2025-05-29,CZ3094,PVG-WUH,B787,6,7.3,-1.05,-0.43,0,0
2026-03-31,CZ3027,PVG-CSX,A321,14,7.9,-0.69,-2.51,0,0
2026-08-17,CZ3015,PVG-CSX,A320,8,6.8,-0.25,-1.57,0,0
2026-03-09,CZ3028,PVG-XIY,A330,21,3.7,0.72,1.78,39,1
2024-11-25,CZ3034,PVG-HGH,A321,6,5.0,0.76,0.1,0,0
2025-09-18,CZ3113,PVG-TSN,B787,9,8.2,-2.46,-3.0,0,0
2026-03-02,CZ3074,PVG-CSX,A321,7,4.9,0.11,0.76,0,0
2024-09-03,CZ3104,PVG-CTU,A321,10,6.7,-1.13,-1.79,2,0
2025-03-17,CZ3038,PVG-CAN,A320,13,5.3,1.71,0.3,0,0
2026-07-17,CZ3076,PVG-CTU,A321,18,8.6,1.73,0.9,0,0
2026-02-04,CZ3065,PVG-CKG,B737,11,6.7,-0.99,-0.93,0,0
2025-10-27,CZ3026,PVG-TSN,B737,9,5.0,0.3,1.16,0,0
2026-06-02,CZ3071,PVG-CAN,A321,8,9.3,0.54,1.67,0,0
2026-09-01,CZ3015,PVG-CAN,B787,9,4.9,0.81,1.4,28,1
2026-07-06,CZ3098,PVG-CAN,B737,9,8.5,-0.3,-0.68,0,0
2025-10-03,CZ3090,PVG-WUH,A320,18,5.2,0.7,0.56,0,0
2024-11-06,CZ3107,PVG-TSN,B787,14,9.3,0.73,0.24,0,0
2025-07-22,CZ3065,PVG-CAN,A320,12,6.5,-1.45,-2.57,0,0
2024-12-10,CZ3056,PVG-NKG,B787,15,7.2,-0.94,-2.13,0,0
2025-04-17,CZ3062,PVG-CTU,B787,9,8.2,0.18,-0.82,0,0
2025-04-16,CZ3020,PVG-HGH,B737,8,6.5,-0.05,-1.62,0,0
2025-06-05,CZ3080,PVG-CTU,B737,17,7.3,0.43,0.37,0,0
2026-03-04,CZ3102,PVG-XIY,A330,21,2.8,0.91,1.74,0,0
2024-12-24,CZ3077,PVG-HGH,A320,6,6.7,-0.14,-0.84,0,0
2025-09-10,CZ3034,PVG-CAN,A330,19,5.0,0.62,1.97,14,1
2025-08-09,CZ3036,PVG-HGH,B737,22,6.1,0.46,0.86,0,0
2025-09-20,CZ3073,PVG-XIY,A321,19,5.1,-1.04,-0.41,2,0
2026-01-26,CZ3102,PVG-CAN,B737,8,7.5,-1.63,-2.46,0,0
2025-02-06,CZ3095,PVG-WUH,B787,14,6.1,-0.09,0.61,0,0
2026-03-25,CZ3008,PVG-HGH,A330,14,10.0,0.63,0.6,0,0
2025-09-10,CZ3113,PVG-NKG,B787,14,8.9,-0.76,0.36,0,0
2026-08-10,CZ3071,PVG-WUH,B787,11,6.2,0.81,1.37,0,0
2024-10-11,CZ3032,PVG-HGH,B737,18,10.9,1.52,1.19,0,0
2025-09-26,CZ3071,PVG-CKG,A320,19,8.2,0.03,-1.6,0,0
2026-08-12,CZ3091,PVG-WUH,A320,7,7.1,0.81,1.57,0,0
2025-02-09,CZ3084,PVG-HGH,A330,17,7.1,-0.88,-0.55,1,0
2025-09-01,CZ3047,PVG-CKG,A321,11,11.7,2.75,2.69,0,0
2026-01-18,CZ3090,PVG-TSN,B737,13,9.5,-0.09,0.13,0,0
2024-10-10,CZ3112,PVG-XIY,A321,21,9.2,-0.12,-1.25,0,0
2025-02-18,CZ3073,PVG-SZX,A321,8,9.0,-1.87,-2.87,5,0
2024-11-20,CZ3106,PVG-CKG,A330,17,9.3,0.12,0.63,0,0
2026-04-08,CZ3055,PVG-XIY,B737,9,8.6,-0.66,-0.07,0,0
2025-08-28,CZ3007,PVG-HGH,B787,9,5.3,0.86,1.85,0,0
2026-04-13,CZ3087,PVG-CKG,A321,20,6.8,-0.17,-1.38,0,0
2025-09-17,CZ3014,PVG-CAN,B737,8,4.7,0.43,1.29,0,0
2024-10-04,CZ3088,PVG-CKG,A330,20,6.9,0.57,1.86,35,1
2025-11-19,CZ3016,PVG-KMG,B737,21,5.5,-0.23,-1.97,0,0
2025-01-16,CZ3065,PVG-XIY,A321,10,8.1,-0.82,-0.65,0,0
2026-07-23,CZ3104,PVG-TSN,B787,11,7.5,0.21,0.95,0,0
2026-07-13,CZ3114,PVG-SZX,B787,11,7.1,0.2,0.35,42,1
2025-09-14,CZ3097,PVG-WUH,A330,18,5.6,2.13,2.69,1,0
2025-05-21,CZ3116,PVG-CAN,A321,15,5.7,0.82,0.31,0,0
2026-06-18,CZ3000,PVG-NKG,A330,10,12.1,-0.52,-2.02,0,0
2026-03-29,CZ3006,PVG-WUH,A330,18,7.2,-0.46,0.39,0,0
2024-10-03,CZ3027,PVG-NKG,A320,21,7.1,1.27,0.32,0,0
2025-04-21,CZ3119,PVG-WUH,B787,19,7.0,0.55,0.37,0,0
2025-01-12,CZ3063,PVG-CSX,B787,8,3.6,-0.02,0.78,0,0
2025-03-30,CZ3008,PVG-CTU,B787,20,7.2,0.55,1.01,4,0
2025-10-24,CZ3026,PVG-CSX,B737,18,9.3,-0.32,0.47,0,0
2025-02-14,CZ3042,PVG-HGH,B737,14,8.9,1.01,1.35,0,0
2026-03-17,CZ3012,PVG-CKG,A330,17,10.5,0.13,0.26,0,0
2024-09-28,CZ3117,PVG-CTU,A330,19,7.6,1.37,1.39,0,0
2026-01-08,CZ3082,PVG-XIY,B787,17,,-2.93,-3.0,0,0
2024-10-25,CZ3117,PVG-CTU,A330,9,9.4,-1.51,-0.79,0,0
2025-07-06,CZ3056,PVG-CTU,B787,9,6.0,-0.75,-3.0,0,0
2026-02-22,CZ3023,PVG-XIY,B737,17,3.5,1.5,0.86,0,0
2026-05-20,CZ3031,PVG-CSX,A330,12,7.7,-1.21,-1.0,0,0
2026-05-07,CZ3027,PVG-CAN,A321,10,7.8,1.4,2.93,44,1
2026-04-16,CZ3073,PVG-PEK,A320,7,10.8,0.06,1.56,0,0
2025-12-08,CZ3117,PVG-NKG,B737,13,11.1,-0.43,-1.56,0,0
2024-10-16,CZ3069,PVG-PEK,A321,20,9.7,-0.63,-0.1,0,0
2025-09-09,CZ3024,PVG-HGH,B737,8,5.9,0.62,1.01,0,0
2026-07-23,CZ3079,PVG-NKG,A320,21,5.3,-0.13,0.26,2,0
2026-04-22,CZ3110,PVG-TSN,B787,8,7.0,-0.21,-0.32,0,0
2024-11-20,CZ3100,PVG-CSX,A320,11,4.6,0.41,-0.51,0,0
2025-01-14,CZ3037,PVG-KMG,B787,16,6.3,0.67,0.74,0,0
2025-06-24,CZ3031,PVG-CSX,A330,19,9.0,-0.29,-1.61,0,0
2024-12-10,CZ3111,PVG-KMG,A320,16,8.2,-0.21,-0.1,0,0
2026-05-27,CZ3064,PVG-SZX,A320,7,8.0,0.23,-0.75,42,1
2025-05-15,CZ3053,PVG-TSN,A320,15,8.4,-1.68,-0.45,0,0
2025-08-23,CZ3077,PVG-KMG,B737,18,6.9,-2.59,-3.0,0,0
2024-09-15,CZ3015,PVG-XIY,A321,13,10.2,0.18,0.21,0,0
2026-05-11,CZ3119,PVG-WUH,B737,8,4.5,1.72,3.0,0,0
2026-01-14,CZ3071,PVG-KMG,A330,18,6.8,0.03,-0.1,0,0
2025-03-29,CZ3048,PVG-KMG,A320,16,9.9,0.61,1.68,0,0
2026-02-11,CZ3021,PVG-CTU,B787,9,11.4,-0.04,-0.62,0,0
2026-08-25,CZ3027,PVG-CTU,A330,7,9.4,1.05,0.74,0,0
2026-03-20,CZ3048,PVG-SZX,A320,6,6.3,-0.21,-0.3,30,1
2024-09-23,CZ3053,PVG-TSN,A320,8,7.8,-1.6,-1.0,0,0
2026-03-30,CZ3036,PVG-CKG,A330,7,8.5,-0.27,0.26,0,0
2025-04-05,CZ3047,PVG-HGH,A320,10,11.2,0.31,0.87,2,0
2025-11-07,CZ3053,PVG-KMG,A320,15,7.6,0.36,1.43,33,1
2025-07-27,CZ3095,PVG-WUH,A321,8,6.7,0.53,0.2,0,0
2024-09-27,CZ3000,PVG-CSX,B787,18,,0.45,-0.75,0,0
2025-02-13,CZ3041,PVG-WUH,A320,16,10.9,1.1,1.61,0,0
2025-12-24,CZ3077,PVG-XIY,A321,18,9.7,-0.15,0.66,0,0
2025-02-11,CZ3000,PVG-TSN,B737,20,6.0,1.04,1.96,0,0
2025-12-26,CZ3086,PVG-PEK,A330,21,9.0,-0.87,-1.49,0,0
2024-10-19,CZ3094,PVG-CSX,A330,17,6.1,1.2,0.16,0,0
2025-10-26,CZ3035,PVG-CTU,B787,15,7.2,0.83,1.34,0,0
2026-02-06,CZ3007,PVG-SZX,B787,8,10.2,-0.16,-0.61,0,0
2026-03-19,CZ3102,PVG-WUH,A320,15,8.2,-0.55,1.01,30,1
2025-10-12,CZ3086,PVG-NKG,B737,20,9.5,-0.4,-1.08,0,0
2025-07-17,CZ3065,PVG-PEK,A330,10,8.2,2.37,2.8,0,0
2024-12-26,CZ3017,PVG-TSN,A320,7,12.1,0.4,0.17,0,0
2026-04-30,CZ3003,PVG-WUH,A321,20,6.2,0.68,0.88,0,0
2025-11-01,CZ3112,PVG-NKG,A320,18,8.0,1.1,2.7,0,0
2025-06-21,CZ3005,PVG-HGH,A321,10,9.9,1.69,2.11,0,0
2026-01-16,CZ3115,PVG-KMG,B737,17,8.9,1.16,2.17,34,1
2025-09-30,CZ3084,PVG-XIY,A330,12,5.8,-1.72,-1.99,0,0
2025-03-24,CZ3051,PVG-NKG,B737,19,9.3,2.04,1.98,0,0
2026-04-15,CZ3006,PVG-NKG,A321,9,7.1,0.64,0.09,0,0
2024-09-29,CZ3109,PVG-CAN,B787,19,5.3,-1.45,-0.8,0,0
2026-02-24,CZ3118,PVG-TSN,A321,13,3.5,0.7,0.76,0,0
2026-01-04,CZ3019,PVG-SZX,A330,15,8.7,1.85,2.6,5,1
2025-03-30,CZ3106,PVG-HGH,B737,20,6.6,-0.89,-0.07,0,0
2026-01-23,CZ3013,PVG-SZX,A321,14,9.8,-0.9,-1.78,0,0
2025-08-29,CZ3103,PVG-CSX,B787,15,6.1,-2.84,-1.89,0,0
2025-01-30,CZ3014,PVG-NKG,B737,7,6.8,-0.53,-0.4,0,0
2026-08-07,CZ3049,PVG-PEK,B787,18,4.2,-1.04,-0.44,0,0
2025-08-17,CZ3018,PVG-WUH,B737,21,3.4,1.39,1.67,2,0
2024-12-18,CZ3064,PVG-KMG,A320,11,9.4,0.62,0.11,1,0
2026-01-06,CZ3090,PVG-KMG,B737,7,6.7,0.31,1.11,0,0
2025-07-20,CZ3035,PVG-KMG,B787,10,7.8,0.46,1.53,0,0
2025-07-17,CZ3110,PVG-CKG,B737,16,8.8,-0.54,0.42,35,1
2025-07-19,CZ3076,PVG-CTU,B787,13,9.1,1.23,1.36,0,0
2026-07-05,CZ3033,PVG-CTU,B737,7,8.2,0.09,0.47,0,0
2025-04-17,CZ3011,PVG-PEK,B737,9,9.0,-1.44,-1.86,4,0
2025-07-08,CZ3113,PVG-HGH,A321,17,6.6,-0.51,0.17,0,0
2024-12-29,CZ3115,PVG-TSN,A330,19,5.8,0.14,0.73,0,0
2025-11-09,CZ3045,PVG-NKG,B737,8,9.1,0.97,2.97,0,0
2025-05-27,CZ3047,PVG-WUH,B787,13,6.8,-0.14,0.12,5,0
2026-05-28,CZ3108,PVG-KMG,A330,17,9.0,-0.61,-0.28,0,0
2026-07-02,CZ3081,PVG-KMG,A321,17,7.0,-0.04,1.12,11,1
2025-01-19,CZ3035,PVG-XIY,A320,10,10.0,0.47,-0.35,0,0
2025-10-06,CZ3109,PVG-CAN,B787,10,5.8,-1.25,-2.0,0,0
2025-05-20,CZ3056,PVG-TSN,B787,13,9.1,-1.36,-2.12,0,0
2026-01-10,CZ3016,PVG-HGH,A321,15,6.3,-2.4,-2.4,0,0
2025-03-05,CZ3058,PVG-XIY,B787,16,7.7,0.14,0.93,42,1
2026-03-02,CZ3077,PVG-CTU,A330,7,6.3,0.23,0.61,0,0
2025-10-01,CZ3064,PVG-PEK,A330,14,7.6,-1.49,-1.28,0,0
2024-11-22,CZ3050,PVG-CAN,A330,10,6.2,1.0,1.78,0,0
2025-01-08,CZ3035,PVG-XIY,B737,18,7.7,-0.25,-1.24,0,0
2025-11-30,CZ3109,PVG-KMG,A320,22,6.6,0.5,-0.76,0,0
2025-05-04,CZ3016,PVG-TSN,B787,11,6.7,0.72,-0.13,0,0
2026-05-25,CZ3026,PVG-HGH,B737,11,9.4,-2.29,-1.72,0,0
2025-01-15,CZ3070,PVG-KMG,A330,13,7.1,1.38,0.82,0,0
2025-09-15,CZ3092,PVG-XIY,A321,11,10.9,-0.38,-1.29,0,0
2025-01-17,CZ3062,PVG-TSN,A330,9,9.8,-0.93,-1.0,0,0
2026-08-04,CZ3075,PVG-TSN,A320,13,8.7,-0.35,-0.45,0,0
2025-12-14,CZ3112,PVG-WUH,A320,8,8.2,-0.35,-0.66,0,0
2025-04-02,CZ3042,PVG-CAN,A320,21,4.8,1.41,-0.6,0,0
2026-06-12,CZ3005,PVG-WUH,A320,8,6.3,2.16,0.77,0,0
2026-08-15,CZ3061,PVG-KMG,A320,9,8.8,-0.27,1.01,0,0
2026-03-21,CZ3119,PVG-CSX,B737,8,3.9,0.16,-0.43,0,0
2025-10-31,CZ3105,PVG-XIY,A330,17,4.0,0.59,-0.07,0,0
2026-03-16,CZ3046,PVG-CKG,A330,20,9.3,-0.1,-0.1,23,1
2025-05-27,CZ3068,PVG-PEK,A320,11,7.0,-0.04,0.68,1,0
